; LGEO Elements List
;
; For use with Lars C. Hassings L3P version x.xx and up
;
; Ldraw	LGEO	LG_Flags (L=LGEO, S=Slope, A=AntonRaves)
stud	knob	L
stud2	tech_knob_logo	L
stud2a	tech_knob	L
1	0001	L
2	0002	L
3	0003	L
4	0004	L
5	0005	L
6	0006	L
7	0007	L
8	0008	L
9	0009	L
10	0010	L
11	0011	L
12	0012	L
13	0013	L
13a	0013a	L
13ac01	0013ac01	L
13b	0013b	L
13bc01	0013bc01	L
13c	0013c	L
13cc01	0013cc01	L
14	0014	L
15	0015	L
16	0016	L
18	0018	L
20	0020	L
21	0021	L
22	0022	L
25	0025	L
26	0026	L
27	0027	L
27a	0027a	L
27ac01	0027ac01	L
27b	0027b	L
27bc01	0027bc01	L
27c	0027c	L
27cc01	0027cc01	L
28	0028	L
29	0029	L
29a	0029a	L
29ac01	0029ac01	L
29b	0029b	L
29bc01	0029bc01	L
29c	0029c	L
29cc01	0029cc01	L
31	0031	L
31a	0031a	L
31ac01	0031ac01	L
31b	0031b	L
31bc01	0031bc01	L
31c	0031c	L
31cc01	0031cc01	L
32	0032	L
32ac01	0032ac01	L
32bc01	0032bc01	L
32cc01	0032cc01	L
33	0033	L
33ac01	0033ac01	L
33bc01	0033bc01	L
33cc01	0033cc01	L
34	0034	L
34	0034a	L
34	0034b	L
34	0034c	L
34	0034d	L
35	0035	L
36	0036	L
39	0039	L
39a	0039a	L
39ac01	0039ac1	L
39b	0039b	L
39bc91	0039bc01	L
39c	0039c	L
39cc01	0039cc01	L
40	0040	LS
44	0044	L
45	0045	L
47	0047	L
48	0048	LS
50	0050	L
56	0056	LS
57	0057	LS
62	0062	L
64	0064	L
65	0065	L
89	0089	L
89a	0089a	L
89b	0089b	L
90	0090	L
90c01	0090c01	L
91	0091	L
93	0093	L
94	0094	L
95	0095	L
96	0096	L
97	0097	L
98	0098	LS
99	0099	LS
100	0100	LS
101	0101	L
104	0104	L
105	0105	L
120	0120	L
121	0121	L
122	0122	L
122c01	0122c01	L
122c02	0122c02	L
123	0123	L
132	0132	L
134	0134	L
138	0138	L
140	0140	L
141	0141	L
142	0142	L
143	0143	L
144	0144	L
145	0145	L
146	0146	L
148	0148	L
150	0150	L
152	0152	L
157	0157	L
158	0158	L
159	0159	L
161	0161	L
163	0163	L
167	0167	A
174	0174	L
177	0177	L
178	0178	L
179	0179	L
180	0180	LS
198	0198	L
199	0199	LS
205	0205	L
206	0206	L
210	0210	L
211	0211	L
212	0217	L
231	0231	L
234	0234	LS
236	0236	L
238	0238	LS
239	0239	L
240	0240	LS
241	0241	L
246	0246	L
247	0247	L
248	0248	LS
251	0251	L
251c01	0251c01	L
252	0252	L
256	0256	L
257	0257	L
259	0259	L
262	0262	L
272	0272	L
274	0274	L
275	0275	LS
278	0278	L
293	0293	L
294	0294	L
295	0295	L
296	0296	L
297	0297	L
298	0298	L
298c01	0298c01	L
299	0299	L
302	0302	L
306	0306	L
307	0307	L
309	0309	L
309p03	0309p04	L
309p04	0309p93	L
313	0313	L
314	0314	L
314d	0314d	L
314e	0314e	L
321	0321	L
324	0324	L
338	0338	L
339	0339	L
340	0340	L
352	0352	L
367	0367	LS
368	0368	L
369	0369	L
370	0370	L
371	0371	L
372	0372	L
373	0373	L
374	0374	L
374p01	0374p01	L
374p02	0374p02	L
374p03	0374p93	L
374p04	0374p04	L
376	0376	L
380	0380	L
386	0386	L
387	0387	L
388	0388	L
396	0396	L
401	0401	L
407	0407	L
408	0408	L
422	0422	L
424	0424	L
425	0425	L
425p01	0425p01	L
427	0427	L
428	0428	L
445	0445	L
446	0446	L
453	0453	L
453a	0453a	L
453ac01	0453ac1	L
453b	0453b	L
453bc91	0453bc01	L
453c	0453c	L
453cc01	0453cc01	L
461	0461	LS
497	0497	L
550	0550	L
571	0571	L
583	0583	L
604	0604	L
604ac01	0604ac01	L
604bc01	0604bc01	L
605	0605	L
606	0606	L
606p01	0606p01	L
606p02	0606p02	L
606p33	0606p33	L
607	0607	L
607p01	0607p01	L
608	0608	L
608p01	0608p01	L
608p02	0608p02	L
608p03	0608p03	L
608p04	0608p04	L
608p33	0608p33	L
609	0609	L
609p01	0609p01	L
610	0610	L
610p01	0610p01	L
611	0611	L
611p01	0611p01	L
612	0612	L
612p01	0612p01	L
613	0613	L
613p01	0613p01	L
645	0645	L
645a	0654a	L
645ac01	0645ac01	L
645b	0645b	L
645bc01	0645bc01	L
645c	0645c	L
645cc01	0645cc01	L
646	0646	L
646a	0654a	L
646ac01	0646ac01	L
646b	0646b	L
646bc01	0646bc01	L
646c	0646c	L
646cc01	0646cc01	L
647	0647	L
648	0648	L
649	0649	L
649p01	0649p01	L
649p02	0649p02	L
675	0675	L
675p01	0675p01	L
675p02	0675p02	L
676	0676	L
700	0700	L
700a	0700a	L
700b	0700b	L
700ea	700ea	L
700eb	700eb	L
702	0702	L
708	0708	L
709	0709	L
711	0711	L
712	0712	L
712a	0712a	L
712b	0712b	L
712px1	0712px1	L
713	0713	L
713a	0712a	L
713b	0713b	L
715	0715	L
728	0728	L
733	0733	L
772	0772	L
772p01	0772p01	L
799	0799	L
800	0800	L
801	0801	L
802	0802	L
807	0807	L
809	0809	L
811	0811	L
825	0825	L
826	0826	L
837	0837	L
912	0912	L
915	0915	L
915p01	0915p01	L
915p02	0915p02	L
915p04	0915p04	L
921	0921	L
922	0922	L
923	0923	L
924	0924	L
925	0925	L
926	0926	L
960	0960	L
961	0961	L
962	0962	LS
965	0965	L
966	0966	L
967	0967	L
968	0968	L
969	0969	L
970	0970	L
970c00	0970c00	L
970c04	0970c04	L
970c05	0970c05	L
970c06	0970c06	L
971	0971	L
972	0972	L
973	0973	L
973p01	0973p01	L
973p1a	0973p1a	L
973p1b	0973p1b	L
973p1c	0973p1c	L
973p1j	0973p1j	L
973p16	0973p16	L
975	0975	L
976	0976	L
977	0977	L
978	0978	L
981	0981	L
982	0982	L
983	0983	L
989	0989	L
2336	2336	L
2337	2337	L
2339	2339	L
2340	2340	L
2341	2341	LS
2342	2342	L
2343	2343	L
2345	2345	L
2345p01	2345p01	L
2346	2346	L
2348	2348	L
2348a	2348a	L
2348b	2348b	L
2349	2349	L
2350	2350	L
2351	2351	L
2352	2352	L
2356	2356	L
2357	2357	L
2358	2358	L
2358p01	2358p01	L
2358p02	2358p02	L
2358p03	2358p03	L
2358p04	2358p04	L
2359	2359	L
2359p01	2359p01	L
2360	2360	L
2360p01	2360p01	L
2360p02	2360p02	L
2361	2361	L
2361p01	2361p01	L
2362	2362	L
2362a	2362a	L
2362b	2362b	L
2375	2375	L
2376	2376	L
2377	2377	L
2397	2397	L
2399	2399	L
2401	2401	L
2408	2408	L
2412	2412	L
2412a	2412a	L
2412b	2412b	L
2413	2413	L
2415	2415	L
2417	2417	L
2419	2419	L
2420	2420	L
2421	2421	L
2423	2423	L
2429	2429	L
2429c01	2429c01	L
2430	2430	L
2431	2431	L
2431b	2431b	L
2431bp52	2431bp52	L
2431bp79	2431bp79	L
2431p02	2431p02	L
2431p12	2431p12	L
2431p51	2431p51	L
2431p52	2431p52	L
2431p78	2431p78	L
2431p79	2431p79	L
2432	2432	L
2433	2433	L
2434	2434	L
2436	2436	L
2437	2437	L
2441	2441	L
2444	2444	L
2445	2445	L
2446	2446	A
2448	2448	L
2449	2449	LS
2450	2450	L
2452	2452	L
2453	2453	L
2454	2454	L
2455	2455	L
2456	2456	L
2458	2458	L
2460	2460	L
2462	2462	L
2465	2465	L
2466	2466	L
2466p07	2466p07	L
2467	2467	L
2468	2468	L
2470	2470	L
2476	2476	L
2476a	2476a	L
2476b	2476b	L
2479	2479	L
2486	2486	L
2493	2493	L
2494	2494	L
2494p01	2494p01	L
2496	2496	L
2507	2507	L
2508	2508	L
2513	2513	L
2516	2516	L
2529	2529	L
2539	2539	L
2540	2540	L
2555	2555	L
2569	2569	L
2571	2571	L
2572	2752	L
2577	2577	L
2579	2579	L
2580	2580	L
2580c01	2580c01	L
2582	2582	LS
2583	2583	L
2609	2609	L
2617	2617	LS
2620	2620	L
2625	2625	L
2626	2626	L
2637	2637	L
2639	2639	L
2642	2642	LS
2653	2653	L
2654	2654	L
2655	2655	L
2680	2680	L
2681	2681	L
2694	2694	L
2695	2695	L
2696	2696	LS
2711	2711	L
2712	2712	L
2719	2719	L
2723	2723	L
2730	2730	L
2736	2736	L
2743	2743	L
2744	2744	L
2748	2748	L
2817	2817	L
2819	2819	L
2825	2825	L
2855	2855	L
2856	2856	L
2872	2872	L
2873	2873	L
2875	2875	LS
2876	2876	LS
2877	2877	L
2878	2878	L
2878c01	2878c01	L
2879	2879	L
2879c01	2879c01	L
2880	2880	L
2905	2905	L
2920	2920	L
2921	2921	L
2923	2923	L
2926	2926	L
2927	2927	L
2958	2958	L
3001	3001	LA
3002	3002	L
3003	3003	L
3004	3004	L
3004p05	3004p05	L
3004p06	3004p06	L
3004p12	3004p12	L
3005	3005	L
3006	3006	L
3007	3007	L
3008	3008	L
3009	3009	L
3010	3010	L
3010p04	3010p04	L
3010p05	3010p05	L
3020	3020	LA
3021	3021	L
3022	3022	L
3023	3023	L
3024	3024	L
3026	3026	L
3027	3027	L
